product_name,category_shelf,match_key
( SPRAY)SALINE NASAL SPRAY UK 10ML,OTC,( spray)saline nasal spray uk 10ml
1 WEEK PILL ORGANIZER (BOX),OTC,1 week pill organizer (box)
1ST AID PREGNANCY TEST MID STREAM 2,Other / uncategorised,1st aid pregnancy test mid stream 2
21ST CENTURY CRANBERRY,Other / uncategorised,21st century cranberry
3 FER SYRUP 200ML,OTC,3 fer syrup 200ml
3-1 CHOLESTEROL RAPID TEST,Other / uncategorised,3-1 cholesterol rapid test
3CP 100ML,OTC,3cp 100ml
3CP 200ML,OTC,3cp 200ml
3P GARLIC MIXTURE,OTC,3p garlic mixture
8 HOUR FEVER COLD MIXTURE 200ML,OTC,8 hour fever cold mixture 200ml
A & E COHESIVE SUPPORT BANDAGE (7.5X4.5),OTC,a & e cohesive support bandage (7.5x4.5)
A & E PLASTER CLEAR WASHPROOF 100'S,Other / uncategorised,a & e plaster clear washproof 100's
A/N COLLAGEN POWDER 165G,OTC,a/n collagen powder 165g
AASH LINKS HANDS SANITIZER 250ML,OTC,aash links hands sanitizer 250ml
ABIDEC DROP 25ML,OTC,abidec drop 25ml
ABIDEC OMEGA 3 SYRUP 150ML,Pharmacy medicine,abidec omega 3 syrup 150ml
ABONIKI BALM,OTC,aboniki balm
ABSOLUTE WHITE T/BRUSH,Other / uncategorised,absolute white t/brush
ABSORBENT COTTON WOOL 100G,Other / uncategorised,absorbent cotton wool 100g
ABSORBENT COTTON WOOL 200G,OTC,absorbent cotton wool 200g
ABSORBENT COTTON WOOL 25G,Other / uncategorised,absorbent cotton wool 25g
ABSORBENT COTTON WOOL 500G,Other / uncategorised,absorbent cotton wool 500g
ABSORBENT COTTON WOOL 50G,OTC,absorbent cotton wool 50g
ACCU CHEK RAPID TEST STRIP,Other / uncategorised,accu chek rapid test strip
ACCURATE PREG TEST,Other / uncategorised,accurate preg test
ACECLOFENAC 100MG 60'S UK,OTC,aceclofenac 100mg 60's uk
ACECLOFENAC(SENAFEN) 100MG TABS 100'S,OTC,aceclofenac(senafen) 100mg tabs 100's
ACETAZOLAMIDE 250MG TABS 112'S UK,Prescription medicine,acetazolamide 250mg tabs 112's uk
ACICLOVIR 200MG 28'S VEGA,Pharmacy medicine,aciclovir 200mg 28's vega
ACICLOVIR 200MG TAB 56'S,OTC,aciclovir 200mg tab 56's
ACICLOVIR 200MG TABS 25'S,OTC,aciclovir 200mg tabs 25's
ACICLOVIR 200MG/5ML ORAL SUSP,Other / uncategorised,aciclovir 200mg/5ml oral susp
ACICLOVIR 400MG TAB UK,Prescription medicine,aciclovir 400mg tab uk
ACICLOVIR 800MG TABS 35'S,Prescription medicine,aciclovir 800mg tabs 35's
ACICLOVIR DENK 200MG TABS 28'S,Pharmacy medicine,aciclovir denk 200mg tabs 28's
ACICLOVIR EYE OINTMENT 5G,OTC,aciclovir eye ointment 5g
ACIDOM (OMEPRAZOLE) 40MG INJ,OTC,acidom (omeprazole) 40mg inj
ACIDOM CAPS 20'S,OTC,acidom caps 20's
ACNE BAR SOAP 80G,OTC,acne bar soap 80g
ACNECIDE 5% GEL 30G,Other / uncategorised,acnecide 5% gel 30g
ACNECIDE 5% W/W GEL 100G,OTC,acnecide 5% w/w gel 100g
ACNECIDE GEL 60G,Prescription medicine,acnecide gel 60g
ACTIFED LINCTUS DRY COUGH MULTI ACTION 100ML,OTC,actifed linctus dry cough multi action 100ml
ACTIFED MULTI -ACTION TABS 12'S UK,Prescription medicine,actifed multi -action tabs 12's uk
ACTIFIZZ VIT C EFF TABS 20'S,"Food, drinks & essentials",actifizz vit c eff tabs 20's
ACTIVATED CHARCOL TAB 100',OTC,activated charcol tab 100'
"ACTRAPID 100IU, ML/ML NOVO SOLUBLE INSULIN",Pharmacy medicine,"actrapid 100iu, ml/ml novo soluble insulin"
ACYCLOVIR DENK CREAM 5% 7G,OTC,acyclovir denk cream 5% 7g
ADAMS SECRET CAPS SINGLE,Other / uncategorised,adams secret caps single
ADAMS SECRETS EXTRA STRENGHT CAPS 10'S,Pharmacy medicine,adams secrets extra strenght caps 10's
ADAPALENE BENZOL PEROXIDE SOAP,Pharmacy medicine,adapalene benzol peroxide soap
ADDYZOA TABS 20'S,OTC,addyzoa tabs 20's
ADIDAS APA WOMEN 200ML,Other / uncategorised,adidas apa women 200ml
ADOM KOO CAPS,OTC,adom koo caps
ADOM KOO SYRUP 330ML,OTC,adom koo syrup 330ml
ADULT DIAPERS ALL TYPES 10'S,Other / uncategorised,adult diapers all types 10's
ADUTWUMWAA BITTERS,OTC,adutwumwaa bitters
ADVANCE CLINICALS SERUM 52ML,Other / uncategorised,advance clinicals serum 52ml
ADVANTAN 0.1% (METHYLPREDNISOLON ASEPONAT) CREAM 30G,OTC,advantan 0.1% (methylprednisolon aseponat) cream 30g
ADVIL 125MG TYLENOL 250MG DUAL ACTION 50S POUCH,OTC,advil 125mg tylenol 250mg dual action 50s pouch
ADVIL 24'S TABS,Other / uncategorised,advil 24's tabs
ADVIL CAPLET 50'S,OTC,advil caplet 50's
ADVIL DUAL ACTION 250MG 72'S,Other / uncategorised,advil dual action 250mg 72's
ADVIL LIQUI GEL 120'S,OTC,advil liqui gel 120's
